,Neighbourhood,Hosp_Count,LATITUD,LONGITUD
0,Sant Gervasi - Galvany,8,41.401136,2.1412240000000002
1,la Salut,6,41.408839,2.14986
2,les Tres Torres,5,41.397669,2.129943
3,la Marina de Port,5,41.358292999999996,2.144328
4,Vallcarca i els Penitents,5,41.414037,2.142642
5,Sant Gervasi - la Bonanova,5,41.41251,2.136103
6,Sarrià,5,41.399338,2.115652
7,Sant Andreu,5,41.436758000000005,2.193086
8,les Corts,4,41.389891,2.129581
9,Montbau,4,41.425727,2.1423900000000002
10,l'Antiga Esquerra de l'Eixample,4,41.391325,2.1598450000000002
11,Sants,4,41.381423999999996,2.141052
12,la Maternitat i Sant Ramon,3,41.384363,2.126177
13,la Dreta de Eixample,3,41.39739,2.173892
14,el Guinardó,3,41.414206,2.174385
15,el Raval,3,41.37655,2.173411
16,la Barceloneta,3,41.383433000000004,2.194692
17,Horta,3,41.437876,2.1619990000000002
18,la Nova Esquerra de l'Eixample,3,41.382842,2.1533729999999998
19,el Fort Pienc,2,41.392679,2.1789709999999998
20,el Camp de l'Arpa del Clot,2,41.415741,2.180747
21,el Besòs i el Maresme,2,41.415397999999996,2.215456
22,"Vallvidrera, el Tibidabo i les Planes",2,41.413845,2.1041830000000004
23,el Camp d'en Grassot i Gràcia Nova,2,41.409504999999996,2.159737
24,la Vila de Gràcia,2,41.396462,2.156464
25,el Putxet i el Farró,2,41.403301,2.149628
26,la Sagrada Família,2,41.410466,2.176657
27,el Carmel,2,41.420858,2.155043
28,la Sagrera,2,41.422424,2.1903639999999998
29,Torre Baró,1,41.460414,2.181436
30,el Poble-sec,1,41.37165,2.166823
31,el Poblenou,1,41.405766,2.202385
32,el Bon Pastor,1,41.438975,2.2062150000000003
33,el Turó de la Peira,1,41.433082,2.170587
34,el Barri Gòtic,1,41.378814,2.177034
35,el Baix Guinardó,1,41.409468,2.165567
36,la Bordeta,1,41.369869,2.141268
37,Vilapicina i la Torre Llobeta,1,41.426156,2.176223
38,la Guineueta,1,41.439533000000004,2.16605
39,Verdun,1,41.442988,2.175029
40,"Sant Pere, Santa Caterina i la Ribera",1,41.390333,2.180485
41,el Clot,1,41.411837,2.192697
42,Sants - Badal,1,41.377408,2.128514
43,Sant Martí de Provençals,1,41.414165000000004,2.197349
44,la Trinitat Nova,1,41.446975,2.183294
45,la Trinitat Vella,1,41.450981,2.1927849999999998
46,la Verneda i la Pau,1,41.42293,2.2086650000000003
47,la Vila Olímpica del Poblenou,1,41.390454999999996,2.194741
48,Sant Antoni,1,41.376475,2.160129
49,Provençals del Poblenou,1,41.407191,2.196935
50,les Roquetes,1,41.446174,2.173934
51,la Prosperitat,1,41.439844,2.181124
52,Diagonal Mar i el Front Marítim del Poblenou,1,41.406334,2.211231
