,Neighborhood,Neighborhood_ID,Price,LATITUD,LONGITUD
0,1.0,el Raval,14.0175,41.379733,2.164073
1,2.0,el Barri Gòtic,13.7725,41.379188,2.1796450000000003
2,3.0,la Barceloneta,16.9175,41.385576,2.194025
3,4.0,"Sant Pere, Santa Caterina i la Ribera",15.0225,41.387252,2.17548
4,5.0,el Fort Pienc,13.1425,41.398772,2.185167
5,6.0,la Sagrada Família,13.717500000000001,41.402956,2.171536
6,,la detra de Eixample,,,
7,8.0,l'Antiga Esquerra de l'Eixample,14.0475,41.386577,2.164039
8,9.0,la Nova Esquerra de l'Eixample,13.905,41.386861,2.149925
9,10.0,Sant Antoni,13.1675,41.375936,2.163198
10,11.0,el Poble-sec,13.855,41.371403,2.157551
11,12.0,la Marina del Prat Vermell,,41.354433,2.142937
12,13.0,la Marina de Port,10.58,41.355474,2.145239
13,14.0,la Font de la Guatlla,12.3625,41.372075,2.146444
14,15.0,Hostafrancs,13.53,41.373155,2.144773
15,16.0,la Bordeta,12.135,41.371504,2.140037
16,17.0,Sants - Badal,13.030000000000001,41.371862,2.128093
17,18.0,Sants,13.149999999999999,41.379274,2.136189
18,19.0,les Corts,14.8325,41.382926,2.134879
19,20.0,la Maternitat i Sant Ramon,13.592500000000001,41.383756,2.112768
20,21.0,Pedralbes,15.687499999999998,41.387901,2.114678
21,22.0,"Vallvidrera, el Tibidabo i les Planes",12.0675,41.416052,2.101802
22,23.0,Sarrià,17.1825,41.396942,2.1187970000000003
23,24.0,les Tres Torres,16.43,41.394938,2.127836
24,25.0,Sant Gervasi - la Bonanova,16.099999999999998,41.406033,2.12324
25,26.0,Sant Gervasi - Galvany,14.7775,41.401324,2.141371
26,27.0,el Putxet i el Farró,14.595,41.40711500000001,2.146052
27,28.0,Vallcarca i els Penitents,13.59,41.414153000000006,2.141956
28,29.0,el Coll,12.172500000000001,41.420162,2.151118
29,30.0,la Salut,12.815,41.41350900000001,2.153135
30,31.0,la Vila de Gràcia,14.5925,41.406917,2.153191
31,32.0,el Camp d'en Grassot i Gràcia Nova,13.83,41.405251,2.165362
32,33.0,el Baix Guinardó,12.6625,41.40858,2.1675880000000003
33,34.0,Can Baró,12.149999999999999,41.416562,2.162104
34,35.0,el Guinardó,12.07,41.412416,2.175768
35,36.0,la Font d'en Fargues,12.0675,41.426208,2.165862
36,37.0,el Carmel,11.345,41.422415,2.152496
37,38.0,la Teixonera,12.075,41.42194600000001,2.147554
38,39.0,Sant Genís dels Agudells,9.682500000000001,41.420833,2.139076
39,40.0,Montbau,10.997499999999999,41.435755,2.147166
40,41.0,la Vall d'Hebron,12.2975,41.43485,2.148164
41,, la Clota,,,
42,43.0,Horta,11.825,41.434525,2.155207
43,44.0,Vilapicina i la Torre Llobeta,11.565,41.428812,2.176841
44,45.0,Porta,11.445,41.431466,2.176745
45,46.0,el Turó de la Peira,11.3125,41.431706,2.166917
46,47.0,Can Peguera,,41.436347,2.164928
47,48.0,la Guineueta,10.0475,41.440794,2.167679
48,49.0,Canyelles,9.4725,41.442942,2.16335
49,50.0,les Roquetes,11.235000000000001,41.44818400000001,2.178608
50,51.0,Verdun,11.65,41.442522,2.175301
51,52.0,la Prosperitat,11.7575,41.440592,2.1805630000000003
52,53.0,la Trinitat Nova,11.9725,41.448733,2.184592
53,54.0,Torre Baró,7.22,41.459986,2.181035
54,55.0,Ciutat Meridiana,8.719999999999999,41.460486,2.175162
55,56.0,Vallbona,,41.462949,2.182793
56,57.0,la Trinitat Vella,10.015,41.45048,2.191216
57,58.0,Baró de Viver,7.6,41.446787,2.201171
58,59.0,el Bon Pastor,10.84,41.444071,2.202441
59,60.0,Sant Andreu,11.9075,41.446094,2.193292
60,61.0,la Sagrera,11.885000000000002,41.421049,2.187421
61,62.0,el Congrés i els Indians,11.92,41.424569,2.178996
62,63.0,Navas,12.0275,41.418078,2.181434
63,64.0,el Camp de l'Arpa del Clot,13.015,41.416757,2.183661
64,65.0,el Clot,12.56,41.40847700000001,2.192809
65,66.0,el Parc i la Llacuna del Poblenou,13.98,41.4037,2.193572
66,67.0,la Vila Olímpica del Poblenou,16.8575,41.393638,2.19662
67,68.0,el Poblenou,14.459999999999999,41.397726,2.195649
68,69.0,Diagonal Mar i el Front Marítim del Poblenou,15.927499999999998,41.404315,2.211487
69,70.0,el Besòs i el Maresme,10.959999999999999,41.418331,2.210653
70,71.0,Provençals del Poblenou,13.657499999999999,41.416222,2.204847
71,72.0,Sant Martí de Provençals,11.5225,41.416227,2.199384
72,73.0,la Verneda i la Pau,11.145000000000001,41.423208,2.201626
